,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,22,20,17,14,5,18,23,1,12,9,15,7,16,4,8,2,21,19,3,10,13,6,11,0
1,19,21,23,10,8,5,1,0,6,3,16,13,12,17,4,18,7,20,2,22,15,9,14,11
2,18,9,14,7,22,11,20,12,13,19,1,6,5,10,4,16,21,23,0,8,15,17,3,2
3,11,14,4,19,6,23,20,16,22,2,17,13,3,8,10,1,0,12,15,9,21,7,5,18
4,6,3,11,5,23,8,1,17,12,2,16,10,15,14,22,21,18,9,13,4,19,20,7,0
5,20,19,1,13,7,23,9,14,17,4,0,18,11,3,16,22,21,15,8,2,12,6,10,5
6,4,11,20,3,14,9,6,22,0,15,18,10,21,12,13,16,7,2,23,17,1,19,5,8
7,15,18,10,5,19,2,11,9,1,21,4,23,22,3,0,6,8,20,17,7,13,12,14,16
8,17,16,9,18,3,4,0,12,22,5,23,15,10,6,7,8,14,20,1,13,19,2,11,21
9,23,11,18,4,13,12,3,9,22,14,19,21,5,10,1,17,16,6,8,2,20,0,15,7
10,23,2,19,4,12,15,1,13,16,21,14,8,5,11,9,22,10,18,17,3,7,6,0,20
11,2,20,12,14,23,9,11,0,4,7,19,3,21,6,1,18,5,22,13,10,15,8,16,17
12,15,8,14,12,19,16,7,5,3,1,17,4,2,20,10,9,21,13,6,0,11,23,18,22
13,20,12,10,13,7,9,8,17,0,19,16,1,11,21,2,18,14,3,22,5,4,6,23,15
14,3,23,19,12,16,18,0,20,9,1,11,7,4,2,6,8,5,13,21,14,15,22,10,17
15,14,12,3,17,15,19,5,10,7,11,6,23,0,21,4,18,9,8,1,16,13,20,2,22
16,22,23,10,12,2,3,15,11,8,1,19,17,4,7,0,20,9,16,14,6,5,18,13,21
17,4,22,19,5,21,6,17,10,20,7,1,16,13,3,12,23,14,18,0,8,11,9,2,15
18,7,18,23,3,17,16,20,5,0,10,21,8,14,4,13,12,2,1,11,15,22,19,6,9
19,13,7,9,22,12,5,0,16,1,19,2,23,4,18,3,21,8,15,10,14,6,17,20,11
20,23,5,6,3,17,18,11,2,21,7,13,16,20,12,1,9,4,14,22,10,15,0,19,8
21,11,23,16,12,19,7,9,4,15,1,21,6,8,0,22,5,17,14,18,3,20,13,10,2
22,7,23,15,2,19,1,0,20,9,11,21,18,14,16,17,13,6,10,12,5,8,3,22,4
23,22,18,9,5,16,12,10,2,23,4,19,6,14,15,11,20,1,17,0,7,21,13,8,3
24,10,18,12,9,15,20,19,13,0,2,17,7,5,23,11,3,6,21,4,14,22,1,16,8
25,1,7,9,12,20,19,18,2,17,8,4,13,16,11,5,14,10,21,3,23,6,15,22,0
26,2,13,17,4,9,8,16,7,0,20,1,14,15,3,11,18,23,21,22,5,12,19,10,6
27,23,15,10,22,21,7,11,4,2,17,18,9,12,8,0,19,20,14,5,3,1,6,13,16
28,9,5,12,14,15,4,8,16,18,22,13,2,7,6,20,0,21,19,3,11,1,17,10,23
29,21,18,0,19,7,16,4,11,22,5,12,1,8,13,17,3,2,9,14,10,23,20,15,6
30,3,11,9,12,6,10,21,7,13,15,19,0,4,18,2,5,23,1,22,16,8,17,20,14
31,15,5,2,9,19,14,10,20,3,0,13,22,6,1,7,8,11,16,18,4,23,21,12,17
32,13,9,0,1,5,20,14,15,22,17,6,11,2,16,12,4,10,7,19,3,8,23,18,21
33,20,3,9,22,10,7,15,4,18,2,12,19,11,13,5,8,1,14,17,16,23,6,0,21
34,3,7,12,10,4,1,2,8,20,14,22,5,11,6,18,21,16,19,23,0,17,15,9,13
35,15,19,12,8,4,0,11,7,13,14,16,10,1,18,6,2,9,22,21,3,5,20,23,17
